"distance","spectrumID","i"
40.4267782429015,"spec-5324-55947-0886.fits",828
41.0951506152828,"spec-5328-55982-0218.fits",906
45.288302363071,"spec-6064-56097-0818.fits",1326
46.5013180127558,"spec-1353-53083-0579.fits",520
46.5077386883802,"spec-4176-55682-0865.fits",1967
46.5529471900892,"spec-5454-56015-0641.fits",1387
46.6487123044205,"spec-6620-56368-0501.fits",1611
46.8696238629734,"spec-4242-55476-0780.fits",1371
46.9146370998565,"spec-4058-55358-0634.fits",2049
47.1069402823353,"spec-4391-55866-0036.fits",903
47.5631135254275,"spec-7395-57131-0208.fits",1143
47.5672470569551,"spec-5111-55840-0716.fits",1443
47.6037898875078,"spec-5972-56334-0558.fits",1950
47.8946578586334,"spec-7257-56658-0239.fits",1349
47.9522131742892,"spec-5047-55833-0214.fits",628
48.2184786172998,"spec-5793-56337-0530.fits",812
48.2693486856081,"spec-2188-54595-0112.fits",1094
48.4110283189415,"spec-5302-55896-0613.fits",622
48.5630268975094,"spec-5331-55976-0504.fits",1386
48.6717022060676,"spec-2359-53826-0199.fits",384
48.7194459945537,"spec-6145-56266-0755.fits",1927
48.9639075892259,"spec-2124-53770-0113.fits",167
49.1858560253472,"spec-6512-56567-0742.fits",1332
49.4044288162872,"spec-6008-56093-0606.fits",1237
49.7651240149834,"spec-7424-57160-0977.fits",2182
49.8082628874349,"spec-5027-56218-0605.fits",1341
50.0212070802903,"spec-2118-53820-0538.fits",1278
50.0752132944846,"spec-1081-52531-0173.fits",1146
50.1768058474429,"spec-3755-55504-0496.fits",1322
50.2284155871701,"spec-1788-54468-0050.fits",1115
50.2370174775364,"spec-5015-55707-0294.fits",1393
50.451277379081,"spec-1437-53046-0166.fits",1630
50.4810619751178,"spec-4611-55603-0878.fits",1271
50.4857411292715,"spec-6461-56329-0925.fits",1946
50.4980776696621,"spec-4464-55866-0887.fits",1052
50.5831954299094,"spec-1105-52937-0368.fits",659
50.6598341282867,"spec-7301-56746-0454.fits",1485
50.6804526107571,"spec-6447-56362-0485.fits",1814
50.7452207623354,"spec-6656-56624-0929.fits",1582
50.7626898827162,"spec-2356-53786-0499.fits",113
50.839047243377,"spec-4039-55648-0759.fits",1554
50.8965596116166,"spec-1997-53442-0041.fits",454
50.918276625565,"spec-6161-56238-0336.fits",1249
50.9376539339525,"spec-6803-56402-0747.fits",805
50.9796579651142,"spec-4494-55569-0447.fits",984
51.1463817202831,"spec-1054-52516-0291.fits",1122
51.2196316863182,"spec-0509-52374-0631.fits",630
51.2587786632432,"spec-2161-53878-0604.fits",1266
51.2903641392603,"spec-4347-55830-0615.fits",1685
51.298843382383,"spec-1311-52765-0413.fits",228
51.4227830219145,"spec-1672-53460-0251.fits",936
51.4605918228987,"spec-6053-56091-0724.fits",1105
51.496292425285,"spec-6406-56330-0456.fits",1373
51.6000895053578,"spec-6465-56279-0857.fits",1842
51.6661433591194,"spec-1229-52723-0306.fits",824
51.7841585553151,"spec-5451-56010-0798.fits",1201
51.7974469266424,"spec-1568-53169-0578.fits",951
51.8067809851857,"spec-6439-56358-0432.fits",1356
51.8256251195645,"spec-6049-56091-0278.fits",962
51.8789825047554,"spec-2382-54169-0116.fits",1097
51.9690273473711,"spec-2422-54096-0519.fits",917
52.0395600072304,"spec-3808-55513-0602.fits",1173
52.1725431927989,"spec-6754-56414-0896.fits",1492
52.1915476364576,"spec-1301-52976-0123.fits",861
52.1919095256757,"spec-0314-51641-0211.fits",888
52.226536722777,"spec-0995-52731-0137.fits",1284
52.2414936689013,"spec-6125-56273-0414.fits",1359
52.4104698791213,"spec-7089-56661-0076.fits",1349
52.436824856948,"spec-2557-54178-0009.fits",274
52.6225865533301,"spec-1382-53115-0469.fits",1127
52.6487966517598,"spec-1959-53440-0382.fits",961
52.6858937640848,"spec-1232-52731-0467.fits",215
52.775211554881,"spec-5397-55944-0285.fits",839
52.8220105869872,"spec-4870-55923-0229.fits",1535
52.8387876892781,"spec-0632-52071-0263.fits",754
52.9871552780558,"spec-5336-55957-0105.fits",1753
53.1893522769687,"spec-1719-53876-0095.fits",1247
53.2782186616322,"spec-1923-53319-0383.fits",914
53.5867553534152,"spec-1026-52558-0067.fits",459
53.6730868181607,"spec-2620-54339-0453.fits",831
53.7282078157967,"spec-6466-56310-0992.fits",1543
53.7295525344572,"spec-2179-53555-0564.fits",986
53.9729180357139,"spec-1397-53119-0412.fits",668
54.000016831627,"spec-4801-55653-0130.fits",1721
54.1529414717485,"spec-1728-53228-0337.fits",949
54.2691533891469,"spec-5301-55987-0190.fits",1401
54.508688887618,"spec-2913-54526-0229.fits",983
54.595231126697,"spec-1757-53083-0437.fits",1075
54.7315418996019,"spec-0935-52643-0464.fits",680
54.7528053772633,"spec-0924-52409-0636.fits",737
55.0849156042832,"spec-2261-53612-0404.fits",901
55.1262897326356,"spec-7255-56597-0896.fits",1733
55.6693645809511,"spec-2634-54110-0244.fits",1083
55.7644783873653,"spec-7235-56603-0338.fits",1421
55.8096308407386,"spec-7258-56605-0453.fits",797
55.8314048923068,"spec-0991-52707-0359.fits",1244
56.1862408461052,"spec-0390-51900-0010.fits",1409
57.1775143823504,"spec-1685-53463-0384.fits",627
59.1598445819613,"spec-0750-52235-0328.fits",925
60.3830257655198,"spec-1626-53472-0286.fits",1013
